,num_mc_samples,model_train_size,image_id,agg_uncertainty
129,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_117,0.08915397
130,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_12,0.094182625
131,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_120,0.08141599
132,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_123,0.034291614
133,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_126,0.09451521
134,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_129,0.1938186
135,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_132,0.23155649
136,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_135,0.1548227
137,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_138,0.18467037
138,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_141,0.17268726
139,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_144,0.19124638
140,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_147,0.10749416
141,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_15,0.33169976
142,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_150,0.11263925
143,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_153,0.15193586
144,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_156,0.10551906
145,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_159,0.1614974
146,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_162,0.1116133
147,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_165,0.09265375
148,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_168,0.08556264
149,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_171,0.13947372
150,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_174,0.08480305
151,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_177,0.10077533
152,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_18,0.0
153,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_180,0.06641997
154,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_183,0.08746118
155,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_186,0.104528524
156,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_189,0.14133632
157,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_192,0.08588795
158,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_195,0.09179343
159,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_198,0.05457758
160,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_21,0.031666666
161,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_24,0.031666666
162,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_27,0.22034454
163,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_3,0.0
164,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_30,0.15952456
165,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_33,0.13915518
166,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_36,0.21801452
167,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_39,0.21290137
168,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_42,0.2891561
169,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_45,0.2691964
170,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_48,0.24636485
171,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_51,0.16968025
172,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_54,0.119662315
173,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_57,0.05300204
174,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_6,0.0
175,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_60,0.04995313
176,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_63,0.0
177,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_66,0.09843343
178,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_69,0.16580725
179,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_72,0.19693927
180,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_75,0.16848528
181,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_78,0.17499468
182,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_81,0.14373201
183,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_84,0.09892397
184,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_87,0.15029421
185,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_9,0.0
186,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_90,0.20377705
187,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_93,0.19744545
188,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_96,0.09292521
189,20,270,acdc_data2_kurt_306-3_0_20201028_pos_1_99,0.13142353
190,20,270,acdc_data3_20210722_pos_18_0,0.33989963
191,20,270,acdc_data3_20210722_pos_18_102,0.04272666
192,20,270,acdc_data3_20210722_pos_18_105,0.12639634
193,20,270,acdc_data3_20210722_pos_18_108,0.08859925
194,20,270,acdc_data3_20210722_pos_18_111,0.24269347
195,20,270,acdc_data3_20210722_pos_18_114,0.18142194
196,20,270,acdc_data3_20210722_pos_18_117,0.13845259
197,20,270,acdc_data3_20210722_pos_18_12,0.0
