,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
177,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,7,0.33185622
178,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,8,0.30054376
179,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,9,0.30748507
180,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,0,0.36370265
181,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,1,0.38724607
182,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,2,0.42703032
183,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,3,0.3388122
184,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,4,0.41487557
185,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,5,0.3499646
186,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,6,0.4416082
187,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,7,0.3619069
188,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,8,0.2995522
189,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,9,0.33195344
190,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,0,0.26965505
191,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,1,0.3056103
192,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,2,0.26023784
193,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,3,0.29772222
194,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,4,0.28586504
195,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,5,0.2810411
196,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,6,0.30435947
